traitX,traitY,traitZ,itemA,itemB,itemC,itemD,itemE,itemF,itemG
39,37,49,1,1,1,1,0,0,0
58,60,59,1,0,1,1,0,0,1
55,54,53,1,1,1,1,0,1,1
66,47,50,0,0,0,0,1,1,1
44,67,50,1,0,0,1,1,1,1
47,43,42,1,1,1,1,0,0,1
50,57,46,0,1,0,0,0,1,0
50,61,44,1,1,1,1,0,1,1
50,53,52,1,0,0,0,1,1,1
56,44,49,0,0,1,0,0,0,1
53,42,50,1,1,0,1,1,1,0
46,41,50,0,0,0,0,0,1,1
41,52,47,0,1,0,0,0,0,0
60,53,43,0,1,1,0,1,0,1
48,56,53,1,1,0,1,0,1,1
48,40,47,1,0,0,1,0,1,0
56,46,51,1,0,1,1,0,1,0
49,46,50,1,0,1,1,1,1,0
39,54,46,1,0,1,0,0,0,0
41,55,58,1,1,0,1,0,0,1
45,61,50,0,1,1,0,0,0,1
50,51,46,1,0,0,0,0,0,1
45,49,44,0,1,0,0,1,1,0
47,49,58,0,0,0,0,0,1,0
50,52,61,1,1,0,0,0,1,1
41,50,56,1,0,1,0,1,1,0
50,50,48,0,0,0,0,0,0,0
60,41,49,0,0,1,0,1,1,1
48,57,62,0,0,1,1,1,0,1
54,51,54,0,1,0,1,1,0,0
56,53,31,1,1,0,0,1,0,1
50,37,48,1,0,1,1,0,1,0
47,44,45,1,1,0,0,0,0,1
51,59,51,1,0,0,1,0,0,0
52,52,55,0,1,0,1,0,0,0
53,42,65,1,1,1,0,0,0,1
51,38,50,0,0,0,0,0,0,0
60,49,54,1,1,1,0,1,0,1
48,53,50,0,1,1,1,1,0,0
60,55,45,0,0,1,0,1,0,1
39,64,52,0,0,0,1,1,1,1
77,54,63,1,1,1,1,1,1,1
43,46,48,0,1,0,1,0,1,0
47,65,57,0,1,1,1,1,0,1
55,43,39,0,0,0,0,0,0,0
43,49,44,0,0,1,0,0,1,1
52,49,43,1,0,1,0,1,0,0
51,41,41,0,0,0,0,0,0,1
44,50,43,0,1,0,0,0,0,1
54,50,52,0,1,1,0,0,1,0
57,51,67,1,0,0,1,1,1,1
50,55,43,1,1,0,1,0,1,0
50,43,35,0,0,0,1,0,0,1
48,50,51,0,0,1,0,0,0,1
65,36,44,0,0,1,1,0,1,0
57,48,45,0,1,0,0,1,0,1
52,45,60,0,0,0,1,0,1,1
53,46,44,1,0,0,0,1,0,1
34,48,56,0,1,1,0,1,0,0
45,53,57,1,0,1,1,1,0,0
49,57,54,1,1,0,0,0,1,0
58,45,48,0,0,1,1,1,1,0
50,57,43,1,0,1,1,1,1,1
36,52,50,0,0,1,1,0,0,0
45,41,50,0,1,0,0,0,1,1
50,55,37,0,1,0,1,0,0,0
57,50,47,0,0,1,1,0,0,1
39,38,51,0,0,0,0,1,0,0
35,49,38,0,0,0,0,0,0,0
53,47,36,0,0,1,0,0,0,0
28,50,45,1,1,0,0,0,0,0
42,50,57,0,1,0,0,1,0,0
47,56,67,1,1,1,0,0,1,1
50,53,50,1,1,0,0,1,1,1
48,44,61,0,0,1,0,0,0,0
48,53,45,0,1,1,0,1,0,1
45,45,50,0,0,1,0,0,1,1
59,52,53,0,0,1,0,1,1,1
49,54,41,0,1,0,0,1,1,0
44,46,41,0,1,0,1,0,0,0
55,54,46,0,1,0,1,1,0,1
54,52,61,0,0,1,1,1,1,0
50,60,53,0,0,0,1,0,1,1
58,40,48,0,0,0,0,0,0,1
41,43,50,1,1,0,0,1,0,1
60,63,37,0,0,0,0,1,0,1
53,49,46,0,1,1,0,0,0,0
43,60,50,1,1,1,1,0,1,1
50,49,58,0,1,1,0,1,1,1
48,56,36,0,0,1,0,0,0,0
42,50,51,1,1,0,1,0,0,1
74,38,45,0,1,1,0,1,0,1
45,43,50,1,1,0,0,0,1,0
57,42,60,1,0,1,0,1,1,0
47,45,35,1,1,0,0,0,0,0
60,41,53,0,0,1,1,0,1,0
50,50,53,1,1,0,1,1,0,0
54,55,49,0,0,1,1,1,0,0
41,60,50,1,1,1,0,0,0,0
54,43,55,1,1,1,0,0,1,0
35,44,49,0,0,0,0,0,0,0
57,48,58,1,1,1,1,1,1,1
38,44,45,1,1,1,0,1,0,0
53,41,41,0,0,1,0,1,1,1
61,52,61,1,1,0,1,1,1,1
50,50,54,0,0,0,0,1,0,0
45,39,47,1,0,0,0,1,0,0
64,42,47,0,0,1,1,1,1,1
58,57,51,1,1,0,1,0,1,1
57,50,56,0,0,1,0,1,1,1
40,64,36,0,1,0,1,1,0,0
45,50,46,0,0,1,0,0,0,1
40,54,39,0,1,0,1,1,0,1
66,56,48,1,1,1,0,1,0,1
65,59,47,1,0,0,1,1,1,1
55,56,55,0,0,1,1,1,1,1
53,63,50,0,1,0,0,0,1,0
50,40,37,1,1,0,0,0,0,1
52,74,60,0,1,1,1,1,1,1
56,46,57,0,0,0,0,1,1,1
46,43,49,0,0,1,1,1,1,1
47,71,50,1,0,0,1,0,0,1
52,38,53,1,0,0,0,0,0,0
48,50,57,1,0,1,1,1,1,0
63,59,47,1,0,1,1,1,0,1
57,44,52,1,1,1,0,1,1,0
61,41,39,0,0,0,0,0,0,0
57,45,53,1,0,1,1,0,0,1
59,49,41,0,1,0,0,1,0,1
46,72,56,1,1,1,0,1,0,1
55,46,58,0,1,0,0,0,0,1
48,56,47,1,1,0,0,1,1,0
53,51,64,1,0,1,0,1,1,0
43,59,55,0,1,1,1,1,1,1
54,51,43,0,0,1,0,1,0,0
57,51,62,0,1,1,1,0,1,1
46,52,39,1,1,1,1,0,0,0
61,49,37,1,0,0,0,1,0,1
43,48,56,0,1,0,1,0,0,1
68,52,59,1,0,1,0,1,1,1
56,61,44,1,1,0,0,1,0,1
50,51,53,0,0,0,0,0,0,1
67,42,53,1,1,1,0,1,0,0
50,48,44,1,1,1,0,0,0,0
48,50,56,1,1,0,1,1,1,1
67,41,44,1,0,1,0,0,1,0
37,49,50,0,0,0,0,0,0,0
65,48,62,1,1,1,1,1,1,1
41,50,50,1,1,0,1,1,1,0
50,49,48,1,0,0,0,0,0,1
45,47,62,0,1,0,0,1,1,1
53,43,46,1,0,0,0,0,0,0
71,45,52,0,0,0,0,0,1,1
47,46,56,1,0,1,1,0,1,1
54,48,59,0,1,1,1,1,1,0
44,46,48,1,0,1,1,0,0,1
52,53,47,0,0,1,0,1,1,1
47,41,49,0,0,0,0,0,0,0
48,36,47,0,0,1,0,0,0,0
49,55,53,1,0,1,0,0,1,1
51,55,52,0,1,1,0,0,0,0
56,52,56,1,0,0,0,1,1,1
57,48,49,0,0,0,1,0,0,0
46,59,51,0,1,0,1,1,1,0
50,57,53,1,0,1,1,1,0,0
54,67,44,1,1,0,1,1,0,1
50,55,45,0,0,0,1,0,1,1
45,60,36,0,0,0,0,0,1,1
39,58,44,0,1,1,1,1,0,1
51,56,45,0,0,1,0,1,0,0
51,48,47,1,1,1,0,1,0,0
48,52,43,1,1,0,1,0,0,0
49,60,50,0,0,1,1,1,0,0
53,49,51,1,1,1,1,1,0,1
47,50,65,0,0,1,0,1,0,0
53,49,60,0,1,0,1,1,1,1
48,46,40,1,0,1,1,1,0,1
59,43,53,0,0,1,1,1,1,0
43,52,68,1,0,0,1,1,0,0
48,50,50,1,1,1,0,1,0,0
58,47,50,1,0,0,1,1,0,1
48,57,52,1,1,0,1,1,1,1
62,48,48,0,0,1,0,1,0,1
55,53,47,0,1,1,1,1,1,1
55,61,54,0,0,1,1,1,0,1
48,56,42,0,1,1,1,1,0,1
42,48,64,0,1,0,0,0,1,1
42,45,47,0,1,0,0,0,0,0
43,47,58,0,0,0,1,0,0,1
60,38,55,0,0,1,1,1,1,0
40,50,59,0,0,0,1,1,0,0
54,43,52,0,0,0,0,0,1,1
48,50,50,0,0,1,1,0,0,0
48,48,45,1,0,0,1,0,0,1
61,68,57,1,1,0,1,1,1,1
38,41,49,0,1,1,0,0,1,0
46,52,50,1,1,0,1,1,0,1
52,50,50,1,0,0,0,1,1,1
55,47,37,0,0,1,0,0,0,1
56,47,50,1,0,0,1,1,0,0
56,63,46,1,1,1,1,1,1,1
50,48,57,1,1,0,1,1,1,1
56,45,46,1,1,1,1,1,1,0
37,51,49,1,0,1,0,1,0,0
72,45,54,1,1,1,0,1,1,1
52,45,43,0,1,1,0,1,1,0
45,53,50,0,0,0,1,1,0,1
53,64,64,0,1,1,1,1,0,1
49,50,44,1,0,1,0,1,1,0
43,49,47,0,0,0,1,0,1,1
50,38,50,1,0,0,0,1,1,0
45,50,49,1,0,0,0,0,0,0
31,54,50,0,1,0,0,0,0,0
40,46,45,1,1,1,0,0,0,1
55,51,40,0,0,0,0,0,0,1
43,52,49,1,0,0,0,1,1,0
71,48,64,1,1,0,0,1,1,0
48,40,48,0,1,0,0,0,0,0
24,45,52,1,1,1,1,0,1,0
52,58,56,1,1,0,0,1,1,1
63,38,52,0,0,1,1,1,0,1
30,50,47,1,0,1,0,0,0,0
58,57,42,1,1,0,1,0,1,0
55,38,43,0,1,1,0,0,1,0
48,42,37,0,0,0,1,0,0,1
50,49,50,0,1,0,0,0,1,0
60,46,48,0,1,0,1,0,0,1
52,39,45,0,0,1,0,0,0,0
54,44,48,1,0,1,0,1,0,1
46,47,55,0,1,1,1,1,0,0
62,46,47,0,0,0,1,1,1,0
50,50,49,0,1,0,1,0,1,1
50,48,52,1,1,1,1,0,0,1
53,43,65,1,1,0,1,1,1,1
45,44,53,1,0,0,0,0,0,0
62,42,48,1,1,0,0,1,1,0
48,48,51,1,0,0,1,1,1,0
44,49,54,1,0,0,1,0,0,0
50,51,50,1,0,0,1,1,0,0
47,43,41,0,0,1,0,0,1,0
40,56,52,0,0,0,1,0,1,1
63,47,51,0,1,1,1,0,1,1
48,53,61,1,0,0,1,0,0,1
62,55,53,0,1,1,1,1,1,1
54,57,40,1,0,1,1,1,1,0
50,41,56,0,1,1,0,1,1,0
51,53,50,0,0,0,0,0,1,1
56,47,50,0,0,0,1,1,0,0
55,46,47,0,1,0,0,1,0,1
53,48,52,0,0,0,0,0,1,0
47,43,53,0,0,0,1,1,0,1
59,56,44,0,1,1,0,1,1,0
54,58,42,0,1,1,1,1,1,0
55,41,59,0,1,0,1,0,0,1
47,44,35,0,1,1,0,0,1,0
51,41,45,1,0,0,0,0,0,1
40,53,43,1,1,0,1,0,0,0
48,58,37,1,0,1,1,0,1,1
65,40,64,0,0,1,1,1,1,0
35,50,45,0,0,1,1,0,0,0
58,45,52,1,1,1,1,0,1,1
51,56,47,0,0,1,0,1,0,1
55,49,55,0,0,1,1,1,1,1
50,56,53,1,1,0,1,0,0,0
45,49,40,0,1,1,0,0,0,0
64,50,49,0,0,1,1,1,1,0
47,50,53,0,1,0,1,0,1,0
45,64,47,1,0,1,1,0,1,1
52,51,48,0,0,1,0,1,0,0
58,55,51,0,0,0,1,1,1,1
47,39,52,1,0,0,0,0,0,1
59,45,53,1,0,1,1,1,0,1
53,60,57,1,0,1,1,0,0,1
39,38,50,1,1,0,1,0,0,0
56,39,46,0,0,1,0,0,0,1
47,59,41,1,1,0,0,1,0,0
56,51,46,1,1,1,1,0,0,0
58,61,53,0,1,1,1,1,1,0
59,45,51,1,0,1,0,0,0,0
53,61,38,1,0,1,0,1,0,0
53,47,59,0,0,0,1,0,0,1
49,66,52,1,1,1,1,0,1,1
55,62,43,0,1,0,1,1,1,1
62,44,55,1,0,1,1,1,1,1
50,48,53,0,1,0,0,1,0,0
62,49,55,1,0,1,1,0,0,0
62,50,39,0,1,1,1,1,0,1
35,46,56,0,0,0,0,1,0,0
43,52,57,1,0,0,1,1,0,1
51,52,44,1,0,1,0,1,0,1
50,62,46,0,1,0,1,1,1,1
44,47,50,1,0,0,1,0,0,1
47,59,50,1,1,0,0,0,1,1
50,44,38,0,1,1,0,1,0,0
46,45,38,0,1,0,0,1,0,0
46,49,55,1,1,0,0,1,0,0
49,56,39,1,0,1,1,1,0,0
53,37,45,1,1,0,1,0,0,0
47,54,56,0,1,0,1,0,1,0
50,48,58,1,1,0,1,0,1,0
50,47,47,1,0,1,1,0,0,0
52,43,56,1,0,1,1,0,1,1
46,63,50,1,1,0,0,0,0,1
57,60,54,1,0,1,1,1,1,1
48,36,56,1,1,1,0,1,1,0
